modelo,conjunto,accuracy,precision_macro,recall_macro,f1_macro
tfidf_logreg,validation,0.8247422680412371,0.8241515225441262,0.8213585434173668,0.8216839048343031
tfidf_logreg,test,0.8294117647058824,0.8382296837116036,0.8286794033852858,0.8314023020559894
tfidf_logreg,challenge,0.5833333333333334,0.6073620823620823,0.5833333333333334,0.5840336595771378
bertimbau,validation,0.9092783505154639,0.9080920486271015,0.9081465919701214,0.9076370527883458
bertimbau,test,0.9176470588235294,0.9177360440785326,0.916491746271158,0.9167666774817821
bertimbau,challenge,0.6833333333333333,0.7142857142857144,0.6833333333333332,0.6847890671420083
